Index,Symbol,FullName,TradeCenterId
1,ABB,Ngân hàng Thương mại cổ phần An Bình,9
2,ACB,Ngân hàng Thương mại Cổ phần Á Châu,1
3,AGRIBANK,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,8
4,BAB,Ngân hàng Thương mại cổ phần Bắc Á,2
5,BAOVIETBANK,Ngân hàng TMCP Bảo Việt,8
6,BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,1
7,BVB,Ngân hàng Thương mại cổ phần Bản Việt,9
8,CBBANK,Ngân hàng Thương mại TNHH MTV Ngoại thương Công nghệ số,8
9,COOPBANK,Ngân hàng Hợp tác xã Việt Nam,8
10,CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,1
11,DAF,Ngân hàng Thương mại cổ phần Đông Á,8
12,DAIABANK,Ngân hàng Thương mại cổ phần Đại Á,8
13,EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,1
14,EVF,Công ty Tài chính cổ phần Điện lực,1
15,GPBANK,Ngân hàng Thương mại TNHH MTV Dầu khí Toàn cầu,8
16,HBB,Ngân hàng Thương mại Cổ phần Nhà Hà Nội,2
17,HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,1
18,KLB,Ngân hàng Thương mại cổ phần Kiên Long,9
19,LPB,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,1
20,MBB,Ngân hàng Thương mại cổ phần Quân đội,1
21,MEKONGBANK,Ngân hàng TMCP Phát triển Mê Kông,8
22,MHB,Ngân hàng TMCP Phát triển nhà đồng bằng sông Cửu Long,8
23,MSB,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,1
24,NAB,Ngân hàng Thương mại cổ phần Nam Á,1
25,NVB,Ngân hàng Thương mại cổ phần Quốc Dân,2
26,OCB,Ngân hàng Thương mại cổ phần Phương Đông,1
27,OCEANBANK,Ngân hàng Thương mại TNHH MTV Đại Dương,8
28,PGB,Ngân hàng TMCP Thịnh vượng và Phát triển,9
29,PVCOMBANK,Ngân hàng Thương mại cổ phần Đại chúng Việt Nam,8
30,PVF,Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam,1
31,SCB,Ngân hàng Thương mại Cổ phần Sài Gòn,8
32,SDF,Công ty Tài chính cổ phần Sông Đà,9
33,SGB,Ngân hàng TMCP Sài Gòn Công thương,9
34,SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,1
35,SOUTHERNBANK,Ngân hàng TMCP Phương Nam,8
36,SSB,Ngân hàng Thương mại cổ phần Đông Nam Á,1
37,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,1
38,TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank),1
39,TCXM,Công ty Tài chính cổ phần Xi măng,8
40,TPB,Ngân hàng Thương mại cổ phần Tiên Phong,1
41,VAB,Ngân hàng Thương mại cổ phần Việt Á,1
42,VBB,Ngân hàng Thương mại cổ phần Việt Nam Thương Tín,9
43,VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,1
44,VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,1
45,VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,1
46,WESTERNBANK,Ngân hàng TMCP Phương Tây,8
