Index,Symbol,FullName,TradeCenterId
70,VCBS,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,8
71,VCI,Công ty Cổ phần Chứng khoán VIETCAP,1
72,VDS,Công ty Cổ phần Chứng khoán Rồng Việt,1
73,VDSE,Công ty Cổ phần Chứng khoán Viễn Đông,8
74,VFS,Công ty Cổ phần Chứng khoán Nhất Việt,2
75,VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,2
76,VINAGLOBAL,Công ty Cổ phần Chứng khoán Toàn Cầu,8
77,VITS,Công ty Cổ phần Chứng khoán VIT,8
78,VIX,Công ty cổ phần Chứng khoán VIX,1
79,VND,Công ty cổ phần Chứng khoán VNDIRECT,1
80,VNSC,Công ty Cổ phần Chứng khoán VINA,8
81,VPSS,Công ty Cổ phần Chứng khoán VPS,8
82,VQSC,Công ty Cổ phần Chứng khoán Việt Quốc,8
83,VSCS,Công ty Cổ phần Chứng khoán Việt,8
84,VSEC,Công ty Cổ phần Chứng khoán Việt Nam,8
85,VTSC,Công ty Cổ phần Chứng khoán Việt Thành,8
86,VTSS,Công ty Cổ phần Chứng khoán Việt Tín,8
87,VUA,Công ty cổ phần Chứng khoán Stanley Brothers,9
88,WOORICBV,Công ty TNHH Chứng khoán NH Việt Nam,8
89,WSS,Công ty Cổ phần Chứng khoán Phố Wall,2
